truck,seq,id,tienda,tipo,arrival_seconds,load_after_cbm,meters
6,1,STOP::SAN_AGUSTIN,SAN AGUSTIN,STOP,961,1.8,6071.7
6,2,STOP::ILLINOIS,ILLINOIS,STOP,2132,2.7,20335.0
6,3,STOP::CAMPO_BELLO,CAMPO BELLO,STOP,3770,3.6,3395.0
6,4,STOP::SANTA_RITA,SANTA RITA,STOP,4957,4.5,14511.2
6,5,STOP::UNIVERSIDAD,UNIVERSIDAD,STOP,5598,5.4,8181.6
6,6,STOP::SEMINARIO,SEMINARIO,STOP,6063,6.3,10736.7
6,7,STOP::CONCORDIA,CONCORDIA,STOP,6799,7.2,12784.3
6,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,7764,0.0,19014.8
6,9,STOP::ORTIZ_DE_CAMPOS,ORTIZ DE CAMPOS,STOP,9592,0.9,9154.4
6,10,STOP::DEPORTIVA,DEPORTIVA,STOP,10006,1.8,7140.4
6,11,STOP::ZOOTECNIA,ZOOTECNIA,STOP,10902,2.7,15613.9
6,12,STOP::DE_LA_LLAVE,DE LA LLAVE,STOP,11618,3.6,10465.6
6,13,STOP::LOS_LLANOS,LOS LLANOS ,STOP,12316,4.5,17200.8
6,14,STOP::ORTIZ_MENA,ORTIZ MENA,STOP,13327,5.4,5960.8
6,15,STOP::MOHINORA,MOHINORA,STOP,14321,6.3,8399.2
6,16,STOP::PASEO_DEL_REAL,PASEO DEL REAL,STOP,14546,7.2,8965.6
6,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,16152,0.0,19014.8
6,18,STOP::DIV._DEL_NORTE,DIV. DEL NORTE,STOP,18021,0.9,7682.0
6,19,STOP::LAS_MISIONES,LAS MISIONES,STOP,18534,1.8,6002.8
6,20,STOP::AMERICAS,AMERICAS,STOP,18918,2.7,5553.5
6,21,STOP::CAMPESINA,CAMPESINA,STOP,19567,3.6,13225.9
6,22,STOP::MIRADOR,MIRADOR,STOP,20013,4.5,9403.2
6,23,STOP::PALMAS,PALMAS,STOP,20341,5.4,8197.4
6,24,STOP::TERRAZAS,TERRAZAS,STOP,20865,6.3,12682.5
6,25,STOP::LINCE,LINCE,STOP,21373,7.2,9549.8
6,26,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,22686,0.0,19014.8
7,0,STOP::TERRAGONA,TERRAGONA,STOP,596,0.9,9062.3
7,1,STOP::SORBONA,SORBONA,STOP,1661,1.8,7505.1
7,2,STOP::AUDITORIO,AUDITORIO,STOP,2204,2.7,10099.3
7,3,STOP::GOMEZ_MORIN,GOMEZ MORIN,STOP,2607,3.6,8197.3
7,4,STOP::ISABELLA,ISABELLA,STOP,3576,4.5,17729.3
7,5,STOP::AVICOLA,AVICOLA,STOP,4177,5.4,11294.4
7,6,STOP::V._CARRANZA,V. CARRANZA,STOP,4771,6.3,9904.9
7,7,STOP::BRASIL,BRASIL,STOP,5347,7.2,4848.9
7,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,6633,0.0,19014.8
7,9,STOP::LA_GALERA,LA GALERA ,STOP,8230,0.9,17426.6
7,10,STOP::AQUILES_SERDAN,AQUILES SERDAN,STOP,9193,1.8,22346.1
7,11,STOP::TOPACIO,TOPACIO,STOP,9927,2.7,21263.0
7,12,STOP::NEBRASKA,NEBRASKA,STOP,10723,3.6,20790.2
7,13,STOP::MINA,MINA,STOP,11786,4.5,9581.4
7,14,STOP::LAS_AGUILAS,LAS AGUILAS,STOP,12448,5.4,4467.1
7,15,STOP::BATOPILAS,BATOPILAS,STOP,12804,6.3,5204.6
7,16,STOP::INDUSTRIAL,INDUSTRIAL,STOP,13502,7.2,8256.3
7,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,14533,0.0,19014.8
7,18,STOP::MASCOTAS,MASCOTAS,STOP,16401,0.9,18994.6
7,19,STOP::KOP,KOP,STOP,17164,1.8,14522.2
7,20,STOP::VIALIDAD_CH-P,VIALIDAD CH-P,STOP,17863,2.7,13057.5
7,21,STOP::CORDILLERA_NEGRA,CORDILLERA NEGRA,STOP,18857,3.6,3964.3
7,22,STOP::CAFETALES,CAFETALES,STOP,19282,4.5,5313.1
7,23,STOP::MEDICINA,MEDICINA,STOP,20086,5.4,6641.7
7,24,STOP::VILLAS_DEL_SOL,VILLAS DEL SOL,STOP,20925,6.3,3594.2
7,25,STOP::J._DEL_NORTE,J. DEL NORTE,STOP,21552,7.2,3287.1
7,26,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,22873,0.0,19014.8
8,0,STOP::R._ALMADA,R. ALMADA,STOP,1125,0.9,17073.3
8,1,STOP::CUAUHTEMOC,CUAUHTEMOC,STOP,1619,1.8,12965.0
8,2,STOP::SAN_SEBASTIAN,SAN SEBASTIAN,STOP,2642,2.7,5101.5
8,3,STOP::P._SAN_MIGUEL,P. SAN MIGUEL,STOP,3283,3.6,2318.0
8,4,STOP::JUAN_ESCUTIA,JUAN ESCUTIA,STOP,3576,4.5,3944.2
8,5,STOP::VARSOVIA,VARSOVIA,STOP,4256,5.4,8935.4
8,6,STOP::PIMENTEL,PIMENTEL,STOP,4824,6.3,3885.8
8,7,STOP::PACHECO,PACHECO,STOP,5412,7.2,9221.8
8,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,6396,0.0,19014.8
8,9,STOP::PLAN_DE_AYALA,PLAN DE AYALA,STOP,8457,0.9,19208.2
8,10,STOP::PARQUE_DEL_MORO,PARQUE DEL MORO,STOP,9526,1.8,20181.3
