id,tienda,tipo,latitud,longitud
STOP::INSURGENTES,INSURGENTES,STOP,28.65304045,-106.0979565
STOP::INTERAMERICANA,INTERAMERICANA,STOP,28.67250833,-106.0786886
STOP::ISABELLA,ISABELLA,STOP,28.59044654,-106.1530223
STOP::J._DEL_NORTE,J. DEL NORTE,STOP,28.68809179,-106.0977432
STOP::JARDINES_DE_ORIENTE,JARDINES DE ORIENTE,STOP,28.66650475,-105.9843237
STOP::JESUS_RENTERIA,JESUS RENTERIA,STOP,28.59572312,-106.0121416
STOP::JIMENEZ,JIMENEZ,STOP,28.69501501,-106.1165006
STOP::JUAN_ESCUTIA,JUAN ESCUTIA,STOP,28.68309284,-106.101065
STOP::JUAN_PABLO_II,JUAN PABLO II,STOP,28.64508807,-106.0147149
STOP::JUAREZ,JUAREZ,STOP,28.65353514,-106.060696
STOP::JUVENTUD,JUVENTUD,STOP,28.69805192,-106.1310554
STOP::KARIKE,KARIKE,STOP,28.67846691,-106.1052271
STOP::KENNEDY,KENNEDY,STOP,28.60303265,-106.0189509
STOP::KIOSKO,KIOSKO,STOP,28.58395436,-105.9597531
STOP::KOP,KOP,STOP,28.62079711,-106.0334846
STOP::LA_CAÑADA,LA CAÑADA,STOP,28.62090919,-106.1017007
STOP::LA_GALERA,LA GALERA ,STOP,28.66488988,-106.0022851
STOP::LADERAS,LADERAS,STOP,28.60722051,-105.9332477
STOP::LA_LEONA,LA LEONA,STOP,28.69959127,-106.1205845
STOP::LAS_AGUILAS,LAS AGUILAS,STOP,28.66072356,-106.112908
STOP::LAS_MISIONES,LAS MISIONES,STOP,28.65344139,-106.1299244
STOP::LENNY_ROMO,LENNY ROMO,STOP,28.73227215,-106.1163605
STOP::LEON,LEON,STOP,28.67794101,-106.035616
STOP::LERDO,LERDO,STOP,28.62800767,-106.073048
STOP::LINCE,LINCE,STOP,28.64188279,-106.1024725
STOP::LLORONES,LLORONES,STOP,28.58589142,-106.1149216
STOP::LOS_HUERTOS,LOS HUERTOS,STOP,28.71758125,-106.1469828
STOP::LOS_LLANOS,LOS LLANOS ,STOP,28.59693627,-106.0182127
STOP::LOS_PORTALES,LOS PORTALES,STOP,28.73563756,-106.1364926
STOP::LOZANO,LOZANO,STOP,28.64903712,-106.0815519
STOP::LUCERO,LUCERO,STOP,28.67716092,-106.1268424
STOP::MARMOL,MARMOL,STOP,28.60886412,-106.0332714
STOP::MASCOTAS,MASCOTAS,STOP,28.63266326,-105.9740759
STOP::MAJALCA,MAJALCA,STOP,28.86433444,-106.2255506
STOP::MAYA,MAYA,STOP,28.60646276,-106.0431512
STOP::MAYAGOITIA,MAYAGOITIA,STOP,28.62352282,-106.0296085
STOP::MEDICINA,MEDICINA,STOP,28.65770704,-106.0935542
STOP::MELCHOR_GUASPE,MELCHOR GUASPE,STOP,28.61831478,-106.0583687
STOP::MER,MER,STOP,28.61300453,-106.1072503
STOP::MERAZ,MERAZ,STOP,28.59744544,-106.0320215
STOP::MERCURIO,MERCURIO,STOP,28.66895678,-106.0844707
STOP::MINA,MINA,STOP,28.63587115,-106.0680893
STOP::MINERAL,MINERAL,STOP,28.73658991,-106.0979636
STOP::MIRADOR,MIRADOR,STOP,28.63405623,-106.0870356
STOP::MISION,MISION,STOP,28.60185433,-106.0385728
STOP::MOHINORA,MOHINORA,STOP,28.7402795,-106.1245186
STOP::MONTE_ALBAN,MONTE ALBAN,STOP,28.71322901,-106.0855063
STOP::MONTECARLO,MONTECARLO,STOP,28.7487856,-106.1502991
STOP::MONTES_AMERICANOS,MONTES AMERICANOS,STOP,28.64616217,-106.1342459
STOP::MORA,MORA,STOP,28.67422072,-106.1030357
STOP::NEBRASKA,NEBRASKA,STOP,28.6540441,-105.9605362
STOP::NOGALES,NOGALES,STOP,28.73329275,-106.1144113
STOP::NUEVA_ESPAÑA,NUEVA ESPAÑA,STOP,28.61498374,-106.0324248
STOP::OBELISCO,OBELISCO,STOP,28.85491023,-106.2040537
STOP::OCAMPO,OCAMPO,STOP,28.62161308,-106.0633139
STOP::OCHOA,OCHOA,STOP,28.61405556,-106.0734144
STOP::OJINAGA,OJINAGA,STOP,28.63172869,-106.0793341
STOP::OJOS_AZULES,OJOS AZULES,STOP,28.72912346,-106.0951329
STOP::ORTIZ_DE_CAMPOS,ORTIZ DE CAMPOS,STOP,28.64285837,-106.0792012
STOP::ORTIZ_MENA,ORTIZ MENA,STOP,28.65354464,-106.0990646
STOP::OXFORD,OXFORD,STOP,28.68321006,-106.136428
STOP::P._SAN_MIGUEL,P. SAN MIGUEL,STOP,28.68263048,-106.1099226
