tienda,direccion,ciudad,latitud,longitud
MONTE ALBAN,"AV MONTE ALBAN 5300  COL. NOMBRE DE DIOS, CHIHUAHUA, MEXICO",CHIHUAHUA,28.71322901,-106.0855063
MONTECARLO,"ARBOL DE HIERRO S/N PARQUE INDUSTRIAL IMPULSO IV, CHIHUAHUA, MEXICO",CHIHUAHUA,28.7487856,-106.1502991
MONTES AMERICANOS,"TOMAS VALLES VIVAR NO. 7515 ESQ. MONTES AMERICANOS, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64616217,-106.1342459
MORA,"C. UNIVERSIDAD Y ZARAGOZA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67422072,-106.1030357
NEBRASKA,"CALLE PRADERA DE NEBRASKA NO. 13600 ESQ. P. MADGASCAR, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6540441,-105.9605362
NOGALES,"CALLE ALEJANDRO DUMAS NO. 15500-A, CHIHUAHUA, MEXICO",CHIHUAHUA,28.73329275,-106.1144113
NUEVA ESPAÑA,"AV NUEVA ESPAÑA S/N  COL. MISAEL NUÑEZ, CHIHUAHUA, MEXICO",CHIHUAHUA,28.61498374,-106.0324248
OBELISCO,"CARRETERA CHIHUAHUA CD JUAREZ, CHIHUAHUA, MEXICO",CHIHUAHUA,28.85491023,-106.2040537
OCAMPO,"AV. OCAMPO NO. 4210, CHIHUAHUA, MEXICO",CHIHUAHUA,28.62161308,-106.0633139
OCHOA,"CALLE 46 No. 3613  , CHIHUAHUA, MEXICO",CHIHUAHUA,28.61405556,-106.0734144
OJINAGA,"BOULEVARD DIAZ ORDAZ Y CALLE 14, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63172869,-106.0793341
OJOS AZULES,"AV. DOSTOYEVSKI ESQUINA CON AV MONTE EVEREST, CHIHUAHUA, MEXICO",CHIHUAHUA,28.72912346,-106.0951329
ORTIZ DE CAMPOS,"CALLE ORTIZ DE CAMPOS NO. 504, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64285837,-106.0792012
ORTIZ MENA,"PERIF. ORTIZ MENA # 3101, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65354464,-106.0990646
OXFORD,"AV. DE LA JUVENTUD NO. 8735, CHIHUAHUA, MEXICO",CHIHUAHUA,28.68321006,-106.136428
P. SAN MIGUEL,"AV. TECNOLOGICO NO. 7907 ESQ. CON MARIA GREEVER, CHIHUAHUA, MEXICO",CHIHUAHUA,28.68263048,-106.1099226
PACHECO,"AV. PACHECO Y CALLE OJINAGA NO. 806, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64715337,-106.0638385
PALMAS,"PERIF. ORTIZ MENA # 2412, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63456166,-106.0974593
PANAMA,"CALLE ANTONIO DE MONTES # 5305, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65027379,-106.1078961
